grandprix,year,driver_name,driver_code,driver_number,track,track_type,wet_dry,fastest_lap_time,avg_lap_time,avg_sector_1_time,avg_sector_2_time,avg_sector_3_time,pitstops,grid_position,finished_position,recent_form_5,recent_form_3,recent_podiums_5,recent_wins_5,avg_finish,finish_std,race_count,avg_grid,grid_std,avg_fastest_lap,avg_pitstops,podium_count,podium_rate,win_count,win_rate,dnf_count,dnf_rate,track_avg_finish,track_race_count,track_avg_grid,track_avg_fastest_lap,track_podium_count,track_podium_rate,track_encoded,driver_encoded,track_type_encoded,wet_dry_encoded,grid_advantage,consistency_score,performance_momentum,quali_vs_race_gap,finished_position_clean
Abu Dhabi Grand Prix,2023,Alexander ALBON,ALB,23,Yas Marina Circuit,circuit,dry,87.845,90.43449091,18.95122807,38.3405614,33.85177193,2,14,14,0,0,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,12.5,2,15,88.6415,0,0,22,0,0,0,0.886524823,0.226421824,0.916535433,0,14
Australian Grand Prix,2023,Alexander ALBON,ALB,23,Melbourne,street,dry,83.349,102.2936,36.6616,22.9266,42.7054,0,8,,14,14,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,8,2,8.666666667,83.188,0,0,9,0,1,0,1.543209877,0.226421824,-0.251968504,,25
Austrian Grand Prix,2023,Alexander ALBON,ALB,23,Spielberg,circuit,wet,69.56,71.60326866,18.57922857,32.19508571,22.23031429,3,10,11,14,14,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,13,2,12.66666667,70.18833333,0,0,20,0,0,1,1.237623762,0.226421824,-0.251968504,1,11
Azerbaijan Grand Prix,2023,Alexander ALBON,ALB,23,Baku,street,dry,105.925,110.3409592,39.68012,44.79742,26.17994,1,13,12,12.5,12.5,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,10.66666667,3,14,105.6746667,0,0,1,0,1,0,0.954198473,0.226421824,-0.126771654,-1,12
Bahrain Grand Prix,2023,Alexander ALBON,ALB,23,Sakhir,circuit,dry,97.144,99.09590566,32.57358929,43.28278571,24.50178571,3,15,10,12.33333333,11.5,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,12.33333333,3,14.33333333,96.66933333,0,0,15,0,0,0,0.82781457,0.226421824,-0.112860892,-5,10
Belgian Grand Prix,2023,Alexander ALBON,ALB,23,Spa-Francorchamps,circuit,wet,109.841,113.6759,32.88897674,51.11681395,30.55874419,3,15,14,11.75,11,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,10.66666667,3,10.33333333,108.2166667,0,0,19,0,0,1,0.82781457,0.226421824,-0.064173228,-1,14
British Grand Prix,2023,Alexander ALBON,ALB,23,Silverstone,circuit,dry,91.273,97.73698,31.98558824,39.62660784,27.08294118,1,8,8,11.75,12,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,8.333333333,3,10.33333333,90.346,0,0,17,0,0,0,1.543209877,0.226421824,-0.064173228,0,8
Canadian Grand Prix,2023,Alexander ALBON,ALB,23,Montreal,circuit,dry,76.917,80.65102941,22.71237681,26.06204348,32.52972464,1,10,7,11,10.66666667,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,7,1,10,77.491,0,0,13,0,0,0,1.237623762,0.226421824,-0.001574803,-3,7
Dutch Grand Prix,2023,Alexander ALBON,ALB,23,Zandvoort,circuit,wet,74.468,84.40867164,29.63401449,30.32323944,26.26416901,4,4,8,10.2,9.666666667,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,9,3,9.5,74.19633333,0,0,23,0,0,1,3.048780488,0.226421824,0.06519685,4,8
Hungarian Grand Prix,2023,Alexander ALBON,ALB,23,Hungaroring,circuit,dry,84.051,85.071,31.00983824,30.62580882,23.96976471,2,16,11,9.4,7.666666667,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,13.33333333,3,16.33333333,82.92,0,0,3,0,0,0,0.776397516,0.226421824,0.131968504,-5,11
Italian Grand Prix,2023,Alexander ALBON,ALB,23,Monza,circuit,dry,86.389,87.09916327,28.66702,30.0842,28.75806,1,6,7,9.6,8.666666667,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,7.666666667,3,9.666666667,83.89166667,0,0,14,0,0,0,2.049180328,0.226421824,0.115275591,1,7
Japanese Grand Prix,2023,Alexander ALBON,ALB,23,Suzuka,circuit,dry,99.185,106.5205217,42.60636,46.41804,21.58448,2,13,,8.2,8.666666667,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,9,1,12,95.155,0,0,21,0,0,0,0.954198473,0.226421824,0.232125984,,25
Las Vegas Grand Prix,2023,Alexander ALBON,ALB,23,Las Vegas,street,dry,97.357,107.5445625,30.82057143,36.03491837,40.88579592,1,6,12,8.25,9,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,12,1,12,97.6825,0,0,7,0,1,0,2.049180328,0.226421824,0.227952756,6,12
Mexico City Grand Prix,2023,Alexander ALBON,ALB,23,Mexico City,circuit,dry,82.773,85.53054412,30.63565217,33.53194286,22.72291429,2,14,9,9.5,9.5,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,10.5,2,13.33333333,81.6265,0,0,10,0,0,0,0.886524823,0.226421824,0.123622047,-5,9
Miami Grand Prix,2023,Alexander ALBON,ALB,23,Miami,street,dry,91.852,93.09029091,32.11939286,35.19019643,26.04319643,1,11,14,9.75,10.5,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,12.33333333,3,10.66666667,91.061,0,0,11,0,1,0,1.126126126,0.226421824,0.102755906,3,14
Monaco Grand Prix,2023,Alexander ALBON,ALB,23,Monte Carlo,circuit,wet,76.672,85.63648649,22.48536842,40.55065789,22.70836842,2,13,14,10.5,11.66666667,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,10.66666667,3,10.66666667,76.10966667,0,0,12,0,0,1,0.954198473,0.226421824,0.04015748,1,14
Qatar Grand Prix,2023,Alexander ALBON,ALB,23,Lusail,circuit,dry,86.666,91.99916981,35.03583929,30.69291071,27.40998214,3,14,13,12.25,12.33333333,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,14,2,15,86.1125,0,0,8,0,0,0,0.886524823,0.226421824,-0.105905512,-1,13
Saudi Arabian Grand Prix,2023,Alexander ALBON,ALB,23,Jeddah,street,dry,95.567,102.78288,38.60223077,32.28188462,33.72976923,1,17,,12.4,13.66666667,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,10,2,13.33333333,93.78366667,0,0,6,0,1,0,0.730994152,0.226421824,-0.118425197,,25
Singapore Grand Prix,2023,Alexander ALBON,ALB,23,Singapore,street,dry,97.342,102.2117288,30.43080328,44.56529508,29.22944262,2,14,11,12.5,13.5,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,12.5,2,12.5,96.626,0,0,18,0,1,0,0.886524823,0.226421824,-0.126771654,-3,11
Spanish Grand Prix,2023,Alexander ALBON,ALB,23,Catalunya,circuit,dry,79.133,80.84187097,24.60484375,32.43734375,24.41676563,2,18,16,13,12,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,17,2,16,79.591,0,0,2,0,0,0,0.690607735,0.226421824,-0.168503937,-2,16
São Paulo Grand Prix,2023,Alexander ALBON,ALB,23,Interlagos,circuit,wet,87.358,92.7507681,29.63299877,34.03018252,26.8594909,0,15,,13.5,13.5,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,11,1,13.5,72.4,0,0,5,0,0,1,0.82781457,0.226421824,-0.21023622,,25
United States Grand Prix,2023,Alexander ALBON,ALB,23,Austin,circuit,dry,101.318,102.7579623,28.46169091,41.08309091,33.959,2,18,9,13.33333333,13.5,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,13,3,17.66666667,99.57666667,0,0,0,0,0,0,0.690607735,0.226421824,-0.196325459,-9,9
Abu Dhabi Grand Prix,2024,Alexander ALBON,ALB,23,Yas Marina Circuit,circuit,dry,89.438,90.78870909,18.53061818,38.93585714,33.67275,1,16,11,12,12.5,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,12.5,2,15,88.6415,0,0,22,0,0,0,0.776397516,0.226421824,-0.08503937,-5,11
Australian Grand Prix,2024,Alexander ALBON,ALB,23,Melbourne,street,dry,81.618,84.41562963,29.37389286,18.52298214,36.67633929,2,12,11,11.75,10,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,8,2,8.666666667,83.188,0,0,9,0,1,0,1.033057851,0.226421824,-0.064173228,-1,11
Austrian Grand Prix,2024,Alexander ALBON,ALB,23,Spielberg,circuit,wet,70.364,71.88338806,18.30426471,32.24995652,21.81991304,2,16,15,11.75,10.33333333,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,13,2,12.66666667,70.18833333,0,0,20,0,0,1,0.776397516,0.226421824,-0.064173228,-1,15
Azerbaijan Grand Prix,2024,Alexander ALBON,ALB,23,Baku,street,dry,106.947,110.6204082,40.27478,44.54428,26.10806,1,10,7,11.5,12.33333333,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,10.66666667,3,14,105.6746667,0,0,1,0,1,0,1.237623762,0.226421824,-0.043307087,-3,7
Bahrain Grand Prix,2024,Alexander ALBON,ALB,23,Sakhir,circuit,dry,95.723,97.65598113,31.88036364,42.40829091,24.1248,2,13,15,10.6,11,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,12.33333333,3,14.33333333,96.66933333,0,0,15,0,0,0,0.954198473,0.226421824,0.031811024,2,15
Belgian Grand Prix,2024,Alexander ALBON,ALB,23,Spa-Francorchamps,circuit,dry,107.996,109.6834146,31.746,49.17965116,29.38527907,2,11,12,11.8,12.33333333,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,10.66666667,3,10.33333333,108.2166667,0,0,19,0,0,0,1.126126126,0.226421824,-0.068346457,1,12
British Grand Prix,2024,Alexander ALBON,ALB,23,Silverstone,circuit,wet,89.718,95.25961224,31.31894118,38.70721569,26.324,2,9,9,12,11.33333333,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,8.333333333,3,10.33333333,90.346,0,0,17,0,0,1,1.373626374,0.226421824,-0.08503937,0,9
Canadian Grand Prix,2024,Alexander ALBON,ALB,23,Montreal,circuit,wet,79.359,91.21869388,26.98907843,28.8517451,35.79158824,2,10,,11.6,12,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,7,1,10,77.491,0,0,13,0,0,1,1.237623762,0.226421824,-0.051653543,,25
Chinese Grand Prix,2024,Alexander ALBON,ALB,23,Shanghai,circuit,dry,100.79,108.2528868,29.19585455,32.86976364,47.1834,2,14,12,10.75,10.5,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,9.5,2,12,98.522,0,0,16,0,0,0,0.886524823,0.226421824,0.019291339,-2,12
Dutch Grand Prix,2024,Alexander ALBON,ALB,23,Zandvoort,circuit,dry,74.434,76.58173529,26.49388571,27.7147,22.90134286,2,,14,12,10.5,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,9,3,9.5,74.19633333,0,0,23,0,0,0,,0.226421824,-0.08503937,,14
Emilia Romagna Grand Prix,2024,Alexander ALBON,ALB,23,Imola,circuit,dry,81.274,82.58569565,28.27796,29.1413,28.51508,4,14,,11.75,13,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,5,1,10.5,79.7815,0,0,4,0,0,0,0.886524823,0.226421824,-0.064173228,,25
Hungarian Grand Prix,2024,Alexander ALBON,ALB,23,Hungaroring,circuit,dry,83.93,85.14521212,30.97551471,30.61348529,24.08038235,2,13,14,11.66666667,13,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,13.33333333,3,16.33333333,82.92,0,0,3,0,0,0,0.954198473,0.226421824,-0.057217848,1,14
Italian Grand Prix,2024,Alexander ALBON,ALB,23,Monza,circuit,dry,83.918,85.2977451,28.05503846,29.17842308,28.46303846,1,9,9,13.33333333,14,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,7.666666667,3,9.666666667,83.89166667,0,0,14,0,0,0,1.373626374,0.226421824,-0.196325459,0,9
Japanese Grand Prix,2024,Alexander ALBON,ALB,23,Suzuka,circuit,dry,87.358,92.7507681,29.63299877,34.03018252,26.8594909,0,14,,12.25,11.5,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,9,1,12,95.155,0,0,21,0,0,0,0.886524823,0.226421824,-0.105905512,,25
Las Vegas Grand Prix,2024,Alexander ALBON,ALB,23,Las Vegas,street,dry,98.008,100.0913478,29.39566667,33.60570833,37.78504167,1,18,,12.33333333,11.5,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,12,1,12,97.6825,0,0,7,0,1,0,0.690607735,0.226421824,-0.112860892,,25
Mexico City Grand Prix,2024,Alexander ALBON,ALB,23,Mexico City,circuit,dry,87.358,92.7507681,29.63299877,34.03018252,26.8594909,0,9,,11.5,9,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,10.5,2,13.33333333,81.6265,0,0,10,0,0,0,1.373626374,0.226421824,-0.043307087,,25
Miami Grand Prix,2024,Alexander ALBON,ALB,23,Miami,street,dry,90.849,96.42959259,33.40717857,36.59989286,26.81451786,2,14,18,11.5,0,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,12.33333333,3,10.66666667,91.061,0,0,11,0,1,0,0.886524823,0.226421824,-0.043307087,4,18
Monaco Grand Prix,2024,Alexander ALBON,ALB,23,Monte Carlo,circuit,dry,77.06,80.16712,21.34636842,37.62588158,22.01181579,1,9,9,13.5,18,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,10.66666667,3,10.66666667,76.10966667,0,0,12,0,0,0,1.373626374,0.226421824,-0.21023622,0,9
Qatar Grand Prix,2024,Alexander ALBON,ALB,23,Lusail,circuit,dry,85.559,94.3474902,36.22692727,31.69130909,29.22554545,4,16,15,13.5,13.5,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,14,2,15,86.1125,0,0,8,0,0,0,0.776397516,0.226421824,-0.21023622,-1,15
Saudi Arabian Grand Prix,2024,Alexander ALBON,ALB,23,Jeddah,street,dry,92.307,96.83370833,36.66787755,30.87855102,30.98420408,1,12,11,14,14,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,10,2,13.33333333,93.78366667,0,0,6,0,1,0,1.033057851,0.226421824,-0.251968504,-1,11
Singapore Grand Prix,2024,Alexander ALBON,ALB,23,Singapore,street,dry,96.888,102.4543077,31.12228571,42.91521429,29.52907143,1,11,,13.25,11.66666667,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,12.5,2,12.5,96.626,0,0,18,0,1,0,1.126126126,0.226421824,-0.189370079,,25
Spanish Grand Prix,2024,Alexander ALBON,ALB,23,Catalunya,circuit,wet,79.132,81.72283871,24.67354688,32.90645313,24.677125,2,19,18,13.25,13,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,17,2,16,79.591,0,0,2,0,0,1,0.654450262,0.226421824,-0.189370079,-1,18
United States Grand Prix,2024,Alexander ALBON,ALB,23,Austin,circuit,dry,99.084,102.6687308,28.31775926,41.23868519,34.45211111,2,16,16,13.25,14.5,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,13,3,17.66666667,99.57666667,0,0,0,0,0,0,0.776397516,0.226421824,-0.189370079,0,16
Australian Grand Prix,2025,Alexander ALBON,ALB,23,Melbourne,street,wet,84.597,103.9774314,36.593125,23.69183929,46.98078571,5,6,5,15,17,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,8,2,8.666666667,83.188,0,0,9,0,1,1,2.049180328,0.226421824,-0.335433071,-1,5
Austrian Grand Prix,2025,Alexander ALBON,ALB,23,Spielberg,circuit,dry,70.641,77.72584615,19.80378571,34.28564286,24.34278571,1,12,,12.5,13,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,13,2,12.66666667,70.18833333,0,0,20,0,0,0,1.033057851,0.226421824,-0.126771654,,25
Azerbaijan Grand Prix,2025,Alexander ALBON,ALB,23,Baku,street,dry,104.152,108.9180208,39.65168,44.30564,26.2999,2,19,13,13,10.5,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,10.66666667,3,14,105.6746667,0,0,1,0,1,0,0.654450262,0.226421824,-0.168503937,-6,13
Bahrain Grand Prix,2025,Alexander ALBON,ALB,23,Sakhir,circuit,dry,97.141,100.2023519,32.400125,44.02066071,25.03716071,2,15,12,13,9,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,12.33333333,3,14.33333333,96.66933333,0,0,15,0,0,0,0.82781457,0.226421824,-0.168503937,-3,12
Belgian Grand Prix,2025,Alexander ALBON,ALB,23,Spa-Francorchamps,circuit,wet,106.813,115.1901905,33.02797674,51.67255814,30.90948837,1,5,6,11.5,12.5,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,10.66666667,3,10.33333333,108.2166667,0,0,19,0,0,1,2.450980392,0.226421824,-0.043307087,1,6
British Grand Prix,2025,Alexander ALBON,ALB,23,Silverstone,circuit,wet,90.047,112.7503061,36.46411765,46.01676471,31.00323529,2,14,8,9,10.33333333,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,8.333333333,3,10.33333333,90.346,0,0,17,0,0,1,0.886524823,0.226421824,0.165354331,-6,8
Canadian Grand Prix,2025,Alexander ALBON,ALB,23,Montreal,circuit,wet,76.197,78.01813636,21.96168889,24.62004444,31.49908889,1,10,,9.75,8.666666667,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,7,1,10,77.491,0,0,13,0,0,1,1.237623762,0.226421824,0.102755906,,25
Chinese Grand Prix,2025,Alexander ALBON,ALB,23,Shanghai,circuit,dry,96.254,97.92453704,26.52476364,29.62034545,42.14714545,1,10,7,9.75,7,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,9.5,2,12,98.522,0,0,16,0,0,0,1.237623762,0.226421824,0.102755906,-3,7
Dutch Grand Prix,2025,Alexander ALBON,ALB,23,Zandvoort,circuit,dry,73.687,81.12789855,28.09383099,29.40305634,24.639,2,15,5,8.25,7.5,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,9,3,9.5,74.19633333,0,0,23,0,0,0,0.82781457,0.226421824,0.227952756,-10,5
Emilia Romagna Grand Prix,2025,Alexander ALBON,ALB,23,Imola,circuit,dry,78.289,86.1611,27.77759016,30.47969355,29.25448387,2,7,5,6.5,6,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,5,1,10.5,79.7815,0,0,4,0,0,0,1.76056338,0.226421824,0.374015748,-2,5
Hungarian Grand Prix,2025,Alexander ALBON,ALB,23,Hungaroring,circuit,dry,80.779,82.74878788,30.18127941,29.73255882,23.37060294,2,20,15,6.25,5.666666667,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,13.33333333,3,16.33333333,82.92,0,0,3,0,0,0,0.621890547,0.226421824,0.39488189,-5,15
Italian Grand Prix,2025,Alexander ALBON,ALB,23,Monza,circuit,dry,81.368,83.51458824,27.61594231,28.42836538,27.84051923,1,14,7,8,8.333333333,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,7.666666667,3,9.666666667,83.89166667,0,0,14,0,0,0,0.886524823,0.226421824,0.248818898,-7,7
Japanese Grand Prix,2025,Alexander ALBON,ALB,23,Suzuka,circuit,dry,91.125,93.15309804,33.12455769,42.32348077,18.13973077,1,9,9,7.8,9,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,9,1,12,95.155,0,0,21,0,0,0,1.373626374,0.226421824,0.265511811,0,9
Mexico City Grand Prix,2025,Alexander ALBON,ALB,23,Mexico City,circuit,dry,80.48,83.61411765,29.4475942,32.64752174,21.75613043,1,17,12,8.2,10.33333333,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,10.5,2,13.33333333,81.6265,0,0,10,0,0,0,0.730994152,0.226421824,0.232125984,-5,12
Miami Grand Prix,2025,Alexander ALBON,ALB,23,Miami,street,wet,90.482,93.365625,31.77487879,35.54966667,26.40178788,1,7,5,9.6,9.333333333,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,12.33333333,3,10.66666667,91.061,0,0,11,0,1,1,1.76056338,0.226421824,0.115275591,-2,5
Monaco Grand Prix,2025,Alexander ALBON,ALB,23,Monte Carlo,circuit,dry,74.597,79.32327397,20.99914667,37.14454667,21.24608,2,10,9,9.6,8.666666667,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,10.66666667,3,10.66666667,76.10966667,0,0,12,0,0,0,1.237623762,0.226421824,0.115275591,-1,9
Saudi Arabian Grand Prix,2025,Alexander ALBON,ALB,23,Jeddah,street,dry,93.477,97.54954167,36.72246939,30.27659184,30.87812245,1,11,9,8.4,8.666666667,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,10,2,13.33333333,93.78366667,0,0,6,0,1,0,1.126126126,0.226421824,0.215433071,-2,9
Singapore Grand Prix,2025,Alexander ALBON,ALB,23,Singapore,street,wet,95.648,98.54118644,29.25015,41.8261,27.77253333,1,,14,8.8,7.666666667,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,12.5,2,12.5,96.626,0,0,18,0,1,1,,0.226421824,0.182047244,,14
Spanish Grand Prix,2025,Alexander ALBON,ALB,23,Catalunya,circuit,dry,80.508,82.62104167,26.56715385,33.41361538,25.12553846,2,11,,9.8,10.66666667,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,17,2,16,79.591,0,0,2,0,0,0,1.126126126,0.226421824,0.098582677,,25
São Paulo Grand Prix,2025,Alexander ALBON,ALB,23,Interlagos,circuit,dry,72.4,78.25550769,20.4160597,40.4470597,17.77867164,2,12,11,9.25,11.5,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,11,1,13.5,72.4,0,0,5,0,0,0,1.033057851,0.226421824,0.144488189,-1,11
United States Grand Prix,2025,Alexander ALBON,ALB,23,Austin,circuit,dry,98.328,100.8286981,27.51941818,40.57750909,33.77981818,2,19,14,10.75,12.5,0,0,10.98113208,3.416535391,53,12.5,3.788034629,88.191,1.712121212,0,0,0,0,13,0.245283019,13,3,17.66666667,99.57666667,0,0,0,0,0,0,0.654450262,0.226421824,0.019291339,-5,14
Australian Grand Prix,2025,Kimi ANTONELLI,ANT,12,Melbourne,street,wet,84.901,103.8702353,36.39258929,23.515375,47.12930357,5,16,4,0,0,0,0,4,,1,16,,84.901,5,0,0,0,0,0,0,4,1,16,84.901,0,0,9,1,1,1,0.99378882,,0.8,-12,4
Abu Dhabi Grand Prix,2023,Carlos SAINZ,SAI,55,Yas Marina Circuit,circuit,dry,89.452,90.57675926,19.04642857,38.62576786,33.60010714,2,16,18,0,0,0,0,7.224137931,4.511362277,58,7.09375,4.658900851,87.58553968,1.769230769,13,0.224137931,3,0.051724138,7,0.120689655,10,2,9.5,88.6085,1,0.5,22,2,0,0,0.44060559,0.181443344,0.878406709,2,18
Australian Grand Prix,2023,Carlos SAINZ,SAI,55,Melbourne,street,dry,80.467,139.1110943,31.72159649,21.45470175,38.63666038,4,5,12,18,18,0,0,7.224137931,4.511362277,58,7.09375,4.658900851,87.58553968,1.769230769,13,0.224137931,3,0.051724138,7,0.120689655,6.5,2,5.666666667,80.249,1,0.5,9,2,1,0,1.390931373,0.181443344,-1.310272537,7,12
Austrian Grand Prix,2023,Carlos SAINZ,SAI,55,Spielberg,circuit,wet,68.88,71.15462687,18.70544286,31.77397143,21.99662857,3,3,6,15,15,0,0,7.224137931,4.511362277,58,7.09375,4.658900851,87.58553968,1.769230769,13,0.224137931,3,0.051724138,7,0.120689655,4.5,2,8.666666667,69.081,1,0.5,20,2,0,1,2.288306452,0.181443344,-0.945492662,3,6
Azerbaijan Grand Prix,2023,Carlos SAINZ,SAI,55,Baku,street,dry,105.175,108.7656939,39.08806,44.46994,26.34764,1,4,5,12,12,0,0,7.224137931,4.511362277,58,7.09375,4.658900851,87.58553968,1.769230769,13,0.224137931,3,0.051724138,7,0.120689655,8.666666667,3,3,105.3376667,1,0.333333333,1,2,1,0,1.730182927,0.181443344,-0.580712788,1,5
Bahrain Grand Prix,2023,Carlos SAINZ,SAI,55,Sakhir,circuit,dry,97.13,98.99316667,32.23234545,43.21796429,24.26316071,2,4,4,10.25,7.666666667,0,0,7.224137931,4.511362277,58,7.09375,4.658900851,87.58553968,1.769230769,13,0.224137931,3,0.051724138,7,0.120689655,3.5,2,5.333333333,96.197,1,0.5,15,2,0,0,1.730182927,0.181443344,-0.367924528,0,4
Belgian Grand Prix,2023,Carlos SAINZ,SAI,55,Spa-Francorchamps,circuit,wet,113.138,116.6197619,33.122,52.31763636,31.64872727,1,4,,9,5,0,0,7.224137931,4.511362277,58,7.09375,4.658900851,87.58553968,1.769230769,13,0.224137931,3,0.051724138,7,0.120689655,12,2,9,108.525,0,0,19,2,0,1,1.730182927,0.181443344,-0.215932914,,25
