grandprix,year,driver_name,driver_code,driver_number,track,track_type,wet_dry,fastest_lap_time,avg_lap_time,avg_sector_1_time,avg_sector_2_time,avg_sector_3_time,pitstops,grid_position,finished_position
Bahrain Grand Prix,2024,Max VERSTAPPEN,VER,1,Sakhir,circuit,dry,92.608,95.79924074074073,31.408017857142855,41.417500000000004,23.736232142857144,2,1.0,1.0
Bahrain Grand Prix,2024,Logan SARGEANT,SAR,2,Sakhir,circuit,dry,94.735,98.92774509803921,33.56296296296296,42.477611111111116,24.322685185185183,3,18.0,20.0
Bahrain Grand Prix,2024,Daniel RICCIARDO,RIC,3,Sakhir,circuit,dry,95.163,97.57790566037735,31.694072727272726,42.38494545454545,24.24883636363636,2,14.0,13.0
Bahrain Grand Prix,2024,Lando NORRIS,NOR,4,Sakhir,circuit,dry,94.476,96.59933333333332,31.555,41.83548214285714,23.949375,2,7.0,6.0
Bahrain Grand Prix,2024,Pierre GASLY,GAS,10,Sakhir,circuit,dry,94.805,97.48275,32.36654545454546,42.13161818181818,24.227636363636364,3,20.0,18.0
Bahrain Grand Prix,2024,Sergio PEREZ,PER,11,Sakhir,circuit,dry,94.364,96.17988888888888,31.452642857142855,41.65235714285715,23.80832142857143,2,5.0,2.0
Bahrain Grand Prix,2024,Fernando ALONSO,ALO,14,Sakhir,circuit,dry,94.199,97.07846296296296,31.71014285714286,42.08407142857143,24.02632142857143,2,6.0,9.0
Bahrain Grand Prix,2024,Charles LECLERC,LEC,16,Sakhir,circuit,dry,94.09,96.52783333333333,31.594267857142857,41.81866071428571,23.83957142857143,2,2.0,4.0
Bahrain Grand Prix,2024,Lance STROLL,STR,18,Sakhir,circuit,dry,95.632,97.28312962962963,31.698803571428574,42.30896428571429,23.987660714285713,2,12.0,10.0
Bahrain Grand Prix,2024,Kevin MAGNUSSEN,MAG,20,Sakhir,circuit,dry,95.57,97.59192452830189,31.760127272727274,42.348690909090905,24.231345454545455,2,15.0,12.0
Bahrain Grand Prix,2024,Yuki TSUNODA,TSU,22,Sakhir,circuit,dry,95.833,97.61762264150944,31.841236363636366,42.377981818181816,24.157854545454544,2,11.0,14.0
Bahrain Grand Prix,2024,Alexander ALBON,ALB,23,Sakhir,circuit,dry,95.723,97.65598113207547,31.880363636363636,42.40829090909091,24.1248,2,13.0,15.0
Bahrain Grand Prix,2024,ZHOU Guanyu,ZHO,24,Sakhir,circuit,dry,95.458,97.55275471698114,31.858054545454547,42.33456363636363,24.11101818181818,2,17.0,11.0
Bahrain Grand Prix,2024,Nico HULKENBERG,HUL,27,Sakhir,circuit,dry,94.834,96.98271153846153,32.190703703703704,42.146654545454545,24.02807272727273,3,10.0,16.0
Bahrain Grand Prix,2024,Esteban OCON,OCO,31,Sakhir,circuit,dry,96.226,97.94715094339622,32.08150909090909,42.41089090909091,24.226418181818183,2,19.0,17.0
Bahrain Grand Prix,2024,Lewis HAMILTON,HAM,44,Sakhir,circuit,dry,94.722,96.63564814814815,31.525642857142856,42.003625,23.826875,2,9.0,7.0
Bahrain Grand Prix,2024,Carlos SAINZ,SAI,55,Sakhir,circuit,dry,94.507,96.22938888888888,31.451392857142856,41.79042857142857,23.708750000000002,2,4.0,3.0
Bahrain Grand Prix,2024,George RUSSELL,RUS,63,Sakhir,circuit,dry,95.065,96.60324074074073,31.616321428571432,41.98967857142857,23.756535714285715,2,3.0,5.0
Bahrain Grand Prix,2024,Valtteri BOTTAS,BOT,77,Sakhir,circuit,dry,96.202,97.88847169811321,31.55937037037037,42.500254545454546,24.252236363636364,2,16.0,19.0
Bahrain Grand Prix,2024,Oscar PIASTRI,PIA,81,Sakhir,circuit,dry,94.774,96.66498148148148,31.668839285714284,41.83464285714286,23.96617857142857,2,8.0,8.0
Saudi Arabian Grand Prix,2024,Max VERSTAPPEN,VER,1,Jeddah,street,dry,91.773,94.97260416666667,35.47083333333333,30.46573469387755,30.98316326530612,1,1.0,1.0
Saudi Arabian Grand Prix,2024,Logan SARGEANT,SAR,2,Jeddah,street,dry,93.026,97.17680851063831,36.747791666666664,31.035187500000003,31.062812500000003,1,19.0,14.0
Saudi Arabian Grand Prix,2024,Daniel RICCIARDO,RIC,3,Jeddah,street,dry,93.323,97.1478085106383,36.1061914893617,30.922875,30.650750000000002,1,14.0,16.0
Saudi Arabian Grand Prix,2024,Lando NORRIS,NOR,4,Jeddah,street,dry,91.944,97.462625,35.67591836734694,30.81926530612245,31.240632653061223,1,6.0,8.0
Saudi Arabian Grand Prix,2024,Pierre GASLY,GAS,10,Jeddah,street,dry,,,,,,0,18.0,
Saudi Arabian Grand Prix,2024,Sergio PEREZ,PER,11,Jeddah,street,dry,92.273,95.15260416666666,35.559448979591835,30.600591836734697,30.8745306122449,1,3.0,2.0
Saudi Arabian Grand Prix,2024,Fernando ALONSO,ALO,14,Jeddah,street,dry,92.387,95.73402083333333,35.77628571428571,30.738612244897958,31.04683673469388,1,4.0,5.0
Saudi Arabian Grand Prix,2024,Charles LECLERC,LEC,16,Jeddah,street,dry,91.632,95.39218749999999,35.636204081632656,30.681040816326533,30.932367346938776,1,2.0,3.0
