grandprix,year,driver_name,driver_code,driver_number,track,track_type,wet_dry,fastest_lap_time,avg_lap_time,avg_sector_1_time,avg_sector_2_time,avg_sector_3_time,pitstops,grid_position,finished_position
Bahrain Grand Prix,2023,Max VERSTAPPEN,VER,1,Sakhir,circuit,dry,96.236,98.16387037,32.07514545,42.66767857,24.16158929,2,1,1
Bahrain Grand Prix,2023,Logan SARGEANT,SAR,2,Sakhir,circuit,dry,96.037,99.34317308,32.62481818,43.34352727,24.5956,3,16,12
Bahrain Grand Prix,2023,Lando NORRIS,NOR,4,Sakhir,circuit,dry,95.257,99.40454167,34.87611111,43.08203704,24.59755556,6,11,17
Bahrain Grand Prix,2023,Pierre GASLY,GAS,10,Sakhir,circuit,dry,95.068,98.71,32.59210714,42.921625,24.50126786,3,20,9
Bahrain Grand Prix,2023,Sergio PEREZ,PER,11,Sakhir,circuit,dry,96.344,98.33477778,31.96983929,42.89023214,24.20528571,2,2,2
Bahrain Grand Prix,2023,Fernando ALONSO,ALO,14,Sakhir,circuit,dry,96.156,98.79044444,32.23941071,43.01860714,24.23778571,2,5,3
Bahrain Grand Prix,2023,Charles LECLERC,LEC,16,Sakhir,circuit,dry,97.17,98.54558333,32.49918919,42.958,24.20905263,2,3,
Bahrain Grand Prix,2023,Lance STROLL,STR,18,Sakhir,circuit,dry,96.546,99.0672037,32.26476786,43.20646429,24.28891071,2,8,6
Bahrain Grand Prix,2023,Kevin MAGNUSSEN,MAG,20,Sakhir,circuit,dry,96.471,99.61723077,32.77049091,43.37154545,24.66092727,3,17,13
Bahrain Grand Prix,2023,Nyck DE VRIES,DEV,21,Sakhir,circuit,dry,97.709,100.151566,32.62481481,43.67778182,24.61527273,2,19,14
Bahrain Grand Prix,2023,Yuki TSUNODA,TSU,22,Sakhir,circuit,dry,96.637,99.03566038,32.59673214,43.0455,24.71160714,3,14,11
Bahrain Grand Prix,2023,Alexander ALBON,ALB,23,Sakhir,circuit,dry,97.144,99.09590566,32.57358929,43.28278571,24.50178571,3,15,10
Bahrain Grand Prix,2023,ZHOU Guanyu,ZHO,24,Sakhir,circuit,dry,93.996,99.97086538,33.04245455,43.5386,24.65381818,3,13,16
Bahrain Grand Prix,2023,Nico HULKENBERG,HUL,27,Sakhir,circuit,dry,96.616,99.48878846,32.94641818,43.29570909,24.72710909,3,10,15
