grandprix,year,driver_name,driver_code,driver_number,track,track_type,wet_dry,fastest_lap_time,avg_lap_time,avg_sector_1_time,avg_sector_2_time,avg_sector_3_time,pitstops,grid_position,finished_position
Mexico City Grand Prix,2025,Max VERSTAPPEN,VER,1,Mexico City,circuit,dry,81.108,82.91169565,29.37491429,32.29744286,21.4963,1,5,3
Mexico City Grand Prix,2025,Lando NORRIS,NOR,4,Mexico City,circuit,dry,80.764,82.49931884,29.41808571,31.98987143,21.36117143,1,1,1
Mexico City Grand Prix,2025,Gabriel BORTOLETO,BOR,5,Mexico City,circuit,dry,81.121,83.49795588,29.5014058,32.58555072,21.64382609,1,16,10
Mexico City Grand Prix,2025,Isack HADJAR,HAD,6,Mexico City,circuit,dry,81.714,83.71877941,29.69933824,32.59130435,21.67827536,1,9,13
Mexico City Grand Prix,2025,Pierre GASLY,GAS,10,Mexico City,circuit,dry,82.271,84.21027941,29.73465217,32.89389855,21.84024638,1,18,15
Mexico City Grand Prix,2025,Kimi ANTONELLI,ANT,12,Mexico City,circuit,dry,80.826,82.85650746,29.49234783,32.34730435,21.55747826,2,6,6
Mexico City Grand Prix,2025,Fernando ALONSO,ALO,14,Mexico City,circuit,dry,81.708,83.958625,29.99363636,32.65446875,21.96857576,1,14,
Mexico City Grand Prix,2025,Charles LECLERC,LEC,16,Mexico City,circuit,dry,81.588,82.91308696,29.28595714,32.33347143,21.55907143,1,2,2
Mexico City Grand Prix,2025,Lance STROLL,STR,18,Mexico City,circuit,dry,80.593,83.33065672,29.85582609,32.43244928,21.58362319,2,19,14
Mexico City Grand Prix,2025,Yuki TSUNODA,TSU,22,Mexico City,circuit,dry,81.486,83.43623188,29.62422857,32.52098571,21.67527143,1,11,11
Mexico City Grand Prix,2025,Alexander ALBON,ALB,23,Mexico City,circuit,dry,80.48,83.61411765,29.4475942,32.64752174,21.75613043,1,17,12
Mexico City Grand Prix,2025,Nico HULKENBERG,HUL,27,Mexico City,circuit,dry,83.091,84.59025,29.816125,32.90141667,21.87270833,0,13,
Mexico City Grand Prix,2025,Liam LAWSON,LAW,30,Mexico City,circuit,dry,85.124,89.897,38.2485,33.50825,25.28025,1,15,
Mexico City Grand Prix,2025,Esteban OCON,OCO,31,Mexico City,circuit,dry,81.869,83.49736232,29.46305797,32.69598571,21.60378571,1,12,9
Mexico City Grand Prix,2025,Franco COLAPINTO,COL,43,Mexico City,circuit,dry,81.342,84.13351471,29.68401471,32.90685294,21.80407246,1,20,16
Mexico City Grand Prix,2025,Lewis HAMILTON,HAM,44,Mexico City,circuit,dry,80.601,82.86413235,29.74862857,32.25251429,21.53932857,2,3,8
Mexico City Grand Prix,2025,Carlos SAINZ,SAI,55,Mexico City,circuit,dry,80.098,82.78803175,29.77524242,32.38748485,21.50415152,3,7,17
Mexico City Grand Prix,2025,George RUSSELL,RUS,63,Mexico City,circuit,dry,80.052,82.96065672,29.22518841,32.43788406,21.51828986,2,4,7
Mexico City Grand Prix,2025,Oscar PIASTRI,PIA,81,Mexico City,circuit,dry,80.422,82.77898529,29.299,32.44422857,21.54234286,2,8,5
Mexico City Grand Prix,2025,Oliver BEARMAN,BEA,87,Mexico City,circuit,dry,80.705,82.77766176,29.55131429,32.2679,21.47428571,2,10,4
São Paulo Grand Prix,2025,Max VERSTAPPEN,VER,1,Interlagos,circuit,dry,72.447,77.16189063,20.36667188,39.95645455,17.74558209,3,16,3
São Paulo Grand Prix,2025,Lando NORRIS,NOR,4,Interlagos,circuit,dry,73.04,77.46335385,20.14186567,39.85262687,17.92155224,2,1,1
São Paulo Grand Prix,2025,Gabriel BORTOLETO,BOR,5,Interlagos,circuit,dry,,,,,,0,,
São Paulo Grand Prix,2025,Isack HADJAR,HAD,6,Interlagos,circuit,dry,73.983,78.21261538,20.32662687,40.47740299,17.86308955,2,5,8
São Paulo Grand Prix,2025,Pierre GASLY,GAS,10,Interlagos,circuit,dry,73.736,78.08924242,20.101,40.57671642,17.63944776,1,9,10
São Paulo Grand Prix,2025,Kimi ANTONELLI,ANT,12,Interlagos,circuit,dry,73.123,77.64057813,20.21292424,39.9520303,17.93733333,2,2,2
São Paulo Grand Prix,2025,Fernando ALONSO,ALO,14,Interlagos,circuit,dry,73.312,78.20035385,20.38329851,40.38813433,17.85885075,2,11,14
São Paulo Grand Prix,2025,Charles LECLERC,LEC,16,Interlagos,circuit,dry,103.56,112.216,25.8135,60.704,25.6985,0,3,
São Paulo Grand Prix,2025,Lance STROLL,STR,18,Interlagos,circuit,dry,73.094,78.23332308,20.38008955,40.46361194,17.81191045,2,14,16
São Paulo Grand Prix,2025,Yuki TSUNODA,TSU,22,Interlagos,circuit,dry,72.774,77.44853125,20.87279104,40.10428358,17.8139403,3,19,17
São Paulo Grand Prix,2025,Alexander ALBON,ALB,23,Interlagos,circuit,dry,72.4,78.25550769,20.4160597,40.4470597,17.77867164,2,12,11
São Paulo Grand Prix,2025,Nico HULKENBERG,HUL,27,Interlagos,circuit,dry,73.91,78.42601515,20.30746269,40.52541791,17.79573134,1,10,9
São Paulo Grand Prix,2025,Liam LAWSON,LAW,30,Interlagos,circuit,dry,74.029,78.42233333,20.12914925,40.69701515,17.82956716,1,7,7
São Paulo Grand Prix,2025,Esteban OCON,OCO,31,Interlagos,circuit,dry,73.481,78.09410769,20.53831343,40.17292537,17.82662687,2,17,12
São Paulo Grand Prix,2025,Franco COLAPINTO,COL,43,Interlagos,circuit,dry,72.816,78.15367692,20.5550303,40.25370149,17.83598507,2,18,15
São Paulo Grand Prix,2025,Lewis HAMILTON,HAM,44,Interlagos,circuit,dry,73.844,80.63069697,22.81469444,41.40502778,18.43083333,3,13,
São Paulo Grand Prix,2025,Carlos SAINZ,SAI,55,Interlagos,circuit,dry,73.683,78.0979697,20.10244776,40.57198507,17.67359701,1,15,13
São Paulo Grand Prix,2025,George RUSSELL,RUS,63,Interlagos,circuit,dry,73.097,77.77273438,20.18443939,40.19225758,17.80406061,2,6,4
São Paulo Grand Prix,2025,Oscar PIASTRI,PIA,81,Interlagos,circuit,dry,72.742,77.42959701,19.90434328,39.98089552,17.80127941,1,4,5
São Paulo Grand Prix,2025,Oliver BEARMAN,BEA,87,Interlagos,circuit,dry,73.483,77.82315385,20.35968657,40.12816418,17.78647761,2,8,6
